Player,Team,Pos,Pos2,Age,Matches ,Starts,Min,Min per match,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G per 90,A per 90,G+A,xG,npxG,xA,xG,xA,xG+xA
Maxwel Cornet,Burnley,FW,MF,24,26,21,"1,766",67,9,1,9,0,1,2,0,0.46,0.05,0.51,6.7,5.9,1.5,0.34,0.07,0.42
Matthew Lowton,Burnley,DF,,32,25,20,"1,772",70,1,2,1,0,0,3,1,0.05,0.1,0.15,0.6,0.6,1.3,0.03,0.07,0.1
Jack Cork,Burnley,MF,,32,20,20,"1,670",83,1,0,1,0,0,4,0,0.05,0,0.05,0.8,0.8,0.1,0.04,0.01,0.05
Connor Roberts,Burnley,DF,,25,21,19,"1,692",80,1,1,1,0,0,2,0,0.05,0.05,0.11,0.2,0.2,1.1,0.01,0.06,0.07
Nathan Collins,Burnley,DF,,20,19,18,"1,670",87,2,0,2,0,0,2,1,0.11,0,0.11,1.6,1.6,0.9,0.08,0.05,0.14
Aaron Lennon,Burnley,MF,,34,28,17,"1,551",55,2,0,2,0,0,2,0,0.12,0,0.12,1.1,1.1,0.5,0.06,0.03,0.09
Wout Weghorst,Burnley,FW,,28,20,17,"1,450",72,2,3,2,0,0,3,0,0.12,0.19,0.31,4.2,4.2,1.4,0.26,0.09,0.35
Chris Wood,Burnley,FW,,29,17,17,"1,367",80,3,0,3,0,0,1,0,0.2,0,0.2,4.5,4.5,0.2,0.3,0.02,0.31
Jay Rodriguez,Burnley,FW,,32,29,13,"1,382",47,2,2,2,0,0,3,0,0.13,0.13,0.26,4.7,4.7,1.9,0.3,0.12,0.43
Jóhann Berg Guðmundsson,Burnley,MF,,30,18,13,"1,102",61,0,1,0,0,0,2,0,0,0.08,0.08,1.7,1.7,0.3,0.14,0.03,0.16
Ashley Barnes,Burnley,FW,,31,23,8,808,35,1,0,0,1,1,4,0,0.11,0,0.11,1.8,1,1.6,0.2,0.18,0.38
Erik Pieters,Burnley,DF,,32,12,8,730,60,0,1,0,0,0,1,0,0,0.12,0.12,0.2,0.2,0.8,0.02,0.1,0.13
Mat?j Vydra,Burnley,FW,,29,22,5,679,30,2,3,2,0,0,1,0,0.27,0.4,0.66,3,3,0.6,0.4,0.08,0.48
Kevin Long,Burnley,DF,,30,6,4,410,68,0,0,0,0,0,1,0,0,0,0,0.2,0.2,0,0.03,0,0.03
Wayne Hennessey,Burnley,GK,,34,2,2,180,90,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.06,0.06
Dale Stephens,Burnley,MF,,32,3,1,124,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0.02,0.03,0.06
Phil Bardsley,Burnley,DF,,36,0,0,,,,,,,,,,,,,,,,,,
Dara Costelloe,Burnley,DF,,18,0,0,,,,,,,,,,,,,,,,,,
Owen Dodgson,Burnley,DF,,18,0,0,,,,,,,,,,,,,,,,,,
Anthony Gomez Mancini,Burnley,MF,,20,0,0,,,,,,,,,,,,,,,,,,
Joseph McGlynn,Burnley,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Will Norris,Burnley,GK,,27,0,0,,,,,,,,,,,,,,,,,,
Lewis Richardson,Burnley,FW,,18,0,0,,,,,,,,,,,,,,,,,,
Bobby Thomas,Burnley,DF,,,0,0,,,,,,,,,,,,,,,,,,
Sam Waller,Burnley,GK,,17,0,0,,,,,,,,,,,,,,,,,,
Edouard Mendy,Chelsea,GK,,29,34,34,"3,060",90,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Antonio Rüdiger,Chelsea,DF,,28,34,34,"3,035",89,3,0,3,0,0,9,0,0.09,0,0.09,2.8,2.8,1.1,0.08,0.03,0.12
Thiago Silva,Chelsea,DF,,36,32,28,"2,650",82,3,0,3,0,0,2,0,0.1,0,0.1,0.9,0.9,0.2,0.03,0.01,0.04
Mason Mount,Chelsea,MF,FW,22,32,27,"2,363",73,11,10,10,1,1,4,0,0.42,0.38,0.8,8.9,8.1,6.7,0.34,0.25,0.59
Jorginho,Chelsea,MF,,29,29,26,"2,273",78,6,2,0,6,7,5,0,0.24,0.08,0.32,5.7,0.4,2.8,0.23,0.11,0.34
Marcos Alonso,Chelsea,DF,,30,28,25,"2,167",77,4,4,4,0,0,8,0,0.17,0.17,0.33,3.3,3.3,4.6,0.14,0.19,0.33
César Azpilicueta,Chelsea,DF,,31,27,24,"2,070",76,1,2,1,0,0,3,0,0.04,0.09,0.13,1.2,1.2,2.1,0.05,0.09,0.14
Reece James,Chelsea,DF,,21,26,22,"1,864",71,5,9,5,0,0,4,1,0.24,0.43,0.68,2.6,2.6,5.7,0.12,0.28,0.4
Kai Havertz,Chelsea,FW,MF,22,29,22,"1,809",62,8,3,8,0,0,3,0,0.4,0.15,0.55,9.7,9.7,2,0.48,0.1,0.58
N'Golo Kanté,Chelsea,MF,,30,26,21,"1,773",68,2,4,2,0,0,2,0,0.1,0.2,0.3,1.8,1.8,2.3,0.09,0.12,0.21
